Data;pcr-positivo;pcr-negativo;pcr-positivo-0a4;pcr-positivo-5a9;pcr-positivo-10a14;pcr-positivo-15a19;pcr-positivo-20a29;pcr-positivo-30a39;pcr-positivo-40a49;pcr-positivo-50a59;pcr-positivo-60a69;pcr-positivo-70a79;pcr-positivo-80a999;obitos
2020-03-02;4;13;;;;;;;2;;2;;;
2020-03-03;0;6;;;;;;;0;;0;;;
2020-03-04;0;3;;;;;;;0;;0;;;
2020-03-05;1;13;;;;;;;0;;1;;;
2020-03-06;0;0;;;;;;;0;;0;;;
2020-03-07;0;0;;;;;;;0;;0;;;
2020-03-08;1;0;;;;;;1.0;0;;0;;;
2020-03-09;3;1;;;;;2.0;0.0;0;1.0;0;;;
2020-03-10;1;1;;;;;0.0;0.0;1;0.0;0;;;
2020-03-11;3;0;;;;;2.0;0.0;0;1.0;0;;;
2020-03-12;3;10;;;;1.0;1.0;0.0;0;0.0;1;;;
2020-03-13;2;5;;;;1.0;0.0;0.0;0;1.0;0;;;
2020-03-14;7;3;;;;0.0;0.0;3.0;0;1.0;3;;;
2020-03-15;5;1;;;;0.0;1.0;1.0;0;2.0;0;1.0;;
2020-03-16;33;16;;1.0;;0.0;2.0;7.0;2;7.0;11;3.0;;
2020-03-17;36;16;;0.0;;0.0;7.0;7.0;7;5.0;7;3.0;;
2020-03-18;30;19;;0.0;1.0;0.0;2.0;8.0;5;6.0;4;3.0;1.0;
2020-03-19;27;25;;0.0;0.0;0.0;9.0;6.0;6;3.0;3;0.0;0.0;
2020-03-20;58;48;1.0;0.0;0.0;1.0;10.0;15.0;13;12.0;4;2.0;0.0;
2020-03-21;6;32;0.0;0.0;0.0;0.0;1.0;1.0;1;2.0;1;0.0;0.0;
2020-03-22;20;29;0.0;0.0;0.0;0.0;3.0;3.0;3;2.0;5;1.0;3.0;
2020-03-23;26;59;0.0;0.0;0.0;1.0;3.0;6.0;4;7.0;3;2.0;0.0;
2020-03-24;15;38;0.0;0.0;0.0;0.0;0.0;3.0;1;6.0;3;2.0;0.0;
2020-03-25;20;38;1.0;0.0;0.0;0.0;4.0;6.0;4;0.0;4;1.0;0.0;
2020-03-26;9;39;0.0;0.0;0.0;0.0;0.0;5.0;0;1.0;2;1.0;0.0;
2020-03-27;23;97;0.0;0.0;0.0;0.0;2.0;7.0;6;5.0;2;1.0;0.0;
2020-03-28;7;25;0.0;0.0;0.0;0.0;1.0;4.0;0;2.0;0;0.0;0.0;
2020-03-29;8;23;0.0;0.0;0.0;0.0;2.0;2.0;1;0.0;2;1.0;0.0;
2020-03-30;29;143;0.0;1.0;0.0;0.0;5.0;7.0;7;2.0;5;2.0;0.0;1.0
2020-03-31;25;107;0.0;1.0;0.0;0.0;5.0;8.0;4;4.0;2;0.0;1.0;0.0
2020-04-01;28;111;0.0;0.0;0.0;0.0;5.0;2.0;7;3.0;8;2.0;1.0;0.0
2020-04-02;36;95;0.0;0.0;2.0;0.0;2.0;6.0;10;7.0;6;3.0;0.0;0.0
2020-04-03;16;92;0.0;0.0;0.0;1.0;1.0;1.0;7;4.0;2;0.0;0.0;0.0
2020-04-04;7;25;0.0;0.0;0.0;0.0;0.0;3.0;2;2.0;0;0.0;0.0;0.0
2020-04-05;6;31;0.0;0.0;0.0;0.0;0.0;2.0;3;0.0;1;0.0;0.0;0.0
2020-04-06;19;151;0.0;0.0;0.0;0.0;1.0;4.0;3;8.0;0;2.0;1.0;0.0
2020-04-07;27;125;0.0;0.0;0.0;1.0;5.0;4.0;4;8.0;5;0.0;0.0;0.0
2020-04-08;33;129;0.0;0.0;0.0;0.0;7.0;9.0;9;3.0;5;0.0;0.0;0.0
2020-04-09;12;109;1.0;0.0;0.0;1.0;2.0;2.0;1;3.0;2;0.0;0.0;0.0
